"","votereg","presvote20post","gender4","educ"
"866",2,6,2,6
"867",1,1,1,2
"868",1,2,1,5
"869",1,2,1,5
"870",1,1,2,6
"871",1,2,4,5
"872",1,1,2,5
"873",1,1,2,6
"874",1,6,2,3
"875",1,5,1,5
"876",1,2,1,2
"877",1,1,2,5
"878",1,2,1,6
"879",1,1,1,5
"880",1,1,2,3
"881",1,1,2,3
"882",1,5,2,4
"883",1,1,1,5
"884",1,1,3,2
"885",1,2,2,3
"886",1,1,1,3
"887",1,5,1,5
"888",1,4,2,4
"889",1,1,2,2
"890",1,2,1,5
"891",1,2,2,2
"892",1,1,2,5
"893",1,1,2,6
"894",1,1,2,6
"895",1,1,1,6
"896",1,2,1,2
"897",1,1,2,4
"898",1,1,1,5
"899",1,6,2,3
"900",1,1,1,2
"901",1,1,2,4
"902",1,1,1,4
"903",1,1,2,2
"904",1,1,2,3
"905",1,1,1,2
"906",1,2,2,4
"907",2,6,2,3
"908",2,6,2,5
"909",1,1,2,2
"910",1,2,1,5
"911",1,1,1,3
"912",1,2,2,6
"913",1,2,2,5
"914",1,1,1,4
"915",2,6,2,3
"916",1,1,2,6
"917",1,1,1,6
"918",1,1,2,2
"919",1,2,1,2
"920",1,1,1,5
"921",1,1,1,2
"922",1,2,2,5
"923",1,1,1,3
"924",1,2,2,6
"925",1,1,2,5
"926",1,1,2,3
"927",1,2,1,6
"928",1,2,1,6
"929",1,2,2,4
"930",1,2,1,6
"931",1,2,2,5
"932",1,2,1,2
"933",1,2,1,5
"934",1,2,1,5
"935",1,2,2,2
"936",1,2,2,3
"937",1,1,2,1
"938",1,6,2,6
"939",1,1,2,5
"940",1,6,2,5
"941",1,2,2,4
"942",1,1,2,2
"943",1,1,1,3
"944",1,1,2,5
"945",1,2,2,6
"946",2,6,2,2
"947",1,2,2,2
"948",1,3,2,4
"949",3,6,2,3
"950",1,2,1,5
"951",1,5,1,5
"952",1,1,1,2
"953",1,1,1,6
"954",1,2,2,5
"955",1,2,1,3
"956",1,5,1,2
"957",1,1,1,1
"958",1,5,1,1
"959",1,2,1,5
"960",1,1,1,3
"961",1,1,1,2
"962",1,3,1,5
"963",1,2,1,4
"964",1,1,2,3
"965",1,2,1,4
"966",1,1,1,5
"967",1,1,1,6
"968",1,1,1,2
"969",1,1,2,6
"970",3,6,2,5
"971",1,2,1,3
"972",1,1,2,2
"973",1,1,2,3
